FECHA,Year,Month,Zona,PromDiario,Max,Min,Indice,Clase
2019-03-19,2019,3,CE,41.0,82.0,17.0,51.0,Regular
2019-03-19,2019,3,NE,56.0,152.0,18.0,72.618,Regular
2019-03-19,2019,3,NO,48.0,106.0,18.0,61.088,Regular
2019-03-19,2019,3,SE,42.0,77.0,25.0,52.441,Regular
2019-03-19,2019,3,SO,32.0,86.0,11.0,40.0,Buena
2019-03-20,2019,3,CE,49.0,91.0,22.0,62.529,Regular
2019-03-20,2019,3,NE,60.0,148.0,20.0,78.382,Regular
2019-03-20,2019,3,NO,52.0,120.0,12.0,66.853,Regular
2019-03-20,2019,3,SE,49.0,107.0,11.0,62.529,Regular
2019-03-20,2019,3,SO,30.0,74.0,5.0,37.5,Buena
2019-03-21,2019,3,CE,47.0,82.0,28.0,59.647,Regular
2019-03-21,2019,3,NE,50.0,121.0,24.0,63.971,Regular
2019-03-21,2019,3,NO,46.0,116.0,11.0,58.206,Regular
2019-03-21,2019,3,SE,46.0,99.0,16.0,58.206,Regular
2019-03-21,2019,3,SO,36.0,78.0,10.0,45.0,Buena
2019-03-22,2019,3,CE,40.0,78.0,20.0,50.0,Buena
2019-03-22,2019,3,NE,52.0,140.0,21.0,66.853,Regular
2019-03-22,2019,3,NO,45.0,102.0,12.0,56.765,Regular
2019-03-22,2019,3,SE,42.0,74.0,20.0,52.441,Regular
2019-03-22,2019,3,SO,28.0,63.0,11.0,35.0,Buena
2019-03-23,2019,3,CE,40.0,67.0,23.0,50.0,Buena
2019-03-23,2019,3,NE,51.0,158.0,23.0,65.412,Regular
2019-03-23,2019,3,NO,44.0,103.0,1.0,55.324,Regular
2019-03-23,2019,3,SE,43.0,113.0,10.0,53.882,Regular
2019-03-23,2019,3,SO,25.0,83.0,8.0,31.25,Buena
2019-03-24,2019,3,CE,39.0,85.0,22.0,48.75,Buena
2019-03-24,2019,3,NE,46.0,105.0,14.0,58.206,Regular
2019-03-24,2019,3,NO,41.0,107.0,3.0,51.0,Regular
2019-03-24,2019,3,SE,44.0,79.0,17.0,55.324,Regular
2019-03-24,2019,3,SO,32.0,60.0,7.0,40.0,Buena
2019-03-25,2019,3,CE,37.0,77.0,8.0,46.25,Buena
2019-03-25,2019,3,NE,53.0,127.0,15.0,68.294,Regular
2019-03-25,2019,3,NO,44.0,97.0,9.0,55.324,Regular
2019-03-25,2019,3,SE,51.0,111.0,19.0,65.412,Regular
2019-03-25,2019,3,SO,30.0,66.0,8.0,37.5,Buena
2019-03-26,2019,3,CE,38.0,74.0,12.0,47.5,Buena
2019-03-26,2019,3,NE,51.0,155.0,6.0,65.412,Regular
2019-03-26,2019,3,NO,44.0,111.0,1.0,55.324,Regular
2019-03-26,2019,3,SE,47.0,128.0,13.0,59.647,Regular
2019-03-26,2019,3,SO,30.0,87.0,3.0,37.5,Buena
2019-03-27,2019,3,CE,41.0,79.0,19.0,51.0,Regular
2019-03-27,2019,3,NE,49.0,125.0,13.0,62.529,Regular
2019-03-27,2019,3,NO,46.0,103.0,13.0,58.206,Regular
2019-03-27,2019,3,SE,39.0,75.0,21.0,48.75,Buena
2019-03-27,2019,3,SO,33.0,71.0,11.0,41.25,Buena
2019-03-28,2019,3,CE,42.0,100.0,18.0,52.441,Regular
2019-03-28,2019,3,NE,52.0,132.0,20.0,66.853,Regular
2019-03-28,2019,3,NO,47.0,122.0,8.0,59.647,Regular
2019-03-28,2019,3,SE,39.0,72.0,26.0,48.75,Buena
2019-03-28,2019,3,SO,34.0,59.0,8.0,42.5,Buena
2019-03-29,2019,3,CE,61.0,102.0,33.0,79.824,Regular
2019-03-29,2019,3,NE,72.0,155.0,29.0,95.676,Regular
2019-03-29,2019,3,NO,56.0,106.0,9.0,72.618,Regular
2019-03-29,2019,3,SE,68.0,98.0,35.0,89.912,Regular
2019-03-29,2019,3,SO,42.0,87.0,8.0,52.441,Regular
2019-03-30,2019,3,CE,66.0,101.0,40.0,87.029,Regular
2019-03-30,2019,3,NE,85.0,140.0,44.0,104.196,Mala
2019-03-30,2019,3,NO,66.0,107.0,28.0,87.029,Regular
2019-03-30,2019,3,SE,73.0,95.0,46.0,97.118,Regular
2019-03-30,2019,3,SO,55.0,81.0,27.0,71.176,Regular
2019-03-31,2019,3,CE,60.0,97.0,33.0,78.382,Regular
2019-03-31,2019,3,NE,72.0,126.0,31.0,95.676,Regular
2019-03-31,2019,3,NO,61.0,106.0,6.0,79.824,Regular
2019-03-31,2019,3,SE,64.0,89.0,41.0,84.147,Regular
2019-03-31,2019,3,SO,47.0,87.0,14.0,59.647,Regular
2019-04-01,2019,4,CE,59.0,100.0,31.0,76.941,Regular
2019-04-01,2019,4,NE,75.0,133.0,26.0,100.0,Regular
2019-04-01,2019,4,NO,70.0,119.0,33.0,92.794,Regular
2019-04-01,2019,4,SE,56.0,115.0,17.0,72.618,Regular
2019-04-01,2019,4,SO,48.0,87.0,18.0,61.088,Regular
2019-04-02,2019,4,CE,58.0,93.0,36.0,75.5,Regular
2019-04-02,2019,4,NE,72.0,163.0,38.0,95.676,Regular
2019-04-02,2019,4,NO,52.0,117.0,18.0,66.853,Regular
2019-04-02,2019,4,SE,57.0,91.0,9.0,74.059,Regular
2019-04-02,2019,4,SO,35.0,72.0,17.0,43.75,Buena
2019-04-03,2019,4,CE,46.0,94.0,12.0,58.206,Regular
2019-04-03,2019,4,NE,62.0,159.0,20.0,81.265,Regular
2019-04-03,2019,4,NO,51.0,105.0,1.0,65.412,Regular
